"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","75","total products sold-Success Copy 3","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:43 GMT 2025","passed","Fri Jan 31 18:22:43 GMT 2025","branches > Point of sales > Total product sold","Sales","",""
"","111","search employee table-success","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:29 GMT 2025","failed","Fri Jan 31 18:20:29 GMT 2025","Search > Employee table","HR management","",""
"","71","Read a Clock-Out Time","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:34 GMT 2025","passed","Fri Jan 31 18:20:34 GMT 2025","Time and Attendance Copy > Clock Out","HR management","",""
"","107","Create  Login Pin-Verify mismatch pin1/2","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:19:42 GMT 2025","passed","Fri Jan 31 18:19:42 GMT 2025","Create Login PIN","Authentication","",""
"","76","accept an order -invalid Auth","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:31 GMT 2025","passed","Fri Jan 31 18:21:31 GMT 2025","Order management > Accept an order","Instant Web","",""
"","137","One Click Send Money-Empty required fields","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:14 GMT 2025","passed","Fri Jan 31 18:20:14 GMT 2025","One Click > One click send money","HR management","",""
"","112","Approve Supplier","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:08 GMT 2025","passed","Fri Jan 31 18:22:08 GMT 2025","Supplier Management","Spend Management","",""
"","68","get employee percentage-invalid auth","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:19:51 GMT 2025","passed","Fri Jan 31 18:19:51 GMT 2025","Employee > Employee percentage","HR management","",""
"","233","create-Duplicate","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:43 GMT 2025","failed","Fri Jan 31 18:21:43 GMT 2025","Table management > Create Table","Instant Web","",""
"","195","search & filter -Invalid search term","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:45 GMT 2025","passed","Fri Jan 31 18:21:46 GMT 2025","Table management > Search and Filter","Instant Web","",""
"","121","transit request","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:00 GMT 2025","passed","Fri Jan 31 18:21:01 GMT 2025","requests > request actions","Stock","",""
"","135","re-stock","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:52 GMT 2025","failed","Fri Jan 31 18:20:52 GMT 2025","manual upload > Re-Stock","Stock","",""
"","111","admin_enable_employee_work_notification-invalid employee id","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:19:59 GMT 2025","passed","Fri Jan 31 18:19:59 GMT 2025","Company Admin > Employee work notification","HR management","",""
"","116","update supplier profile [Success] Copy","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:51 GMT 2025","passed","Fri Jan 31 18:20:51 GMT 2025","suppliers > Update supplier profile","Stock","",""
"","115","transfer summary","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:05 GMT 2025","passed","Fri Jan 31 18:21:05 GMT 2025","transfers","Stock","",""
"","74","get transactions - Invalid Auth","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:42 GMT 2025","passed","Fri Jan 31 18:21:42 GMT 2025","Transactions Dashboard > Get Transactions","Instant Web","",""
"","67","Employee Attendance Dashboard Metrics","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:31 GMT 2025","passed","Fri Jan 31 18:20:31 GMT 2025","Time and Attendance Copy > Employee Dashboard > Attendance Dashboard","HR management","",""
"","71","payroll history - invalid auth","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:19:43 GMT 2025","passed","Fri Jan 31 18:19:44 GMT 2025","Transactions > Payroll history","HR management","",""
"","117","fetch transfers","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:05 GMT 2025","passed","Fri Jan 31 18:21:05 GMT 2025","transfers","Stock","",""
"","115","Create webstore-Invalid branch ID","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:21 GMT 2025","passed","Fri Jan 31 18:21:21 GMT 2025","Webstore management > store > Create webstore","Instant Web","",""
"","116","fetch stock item unique id","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:05 GMT 2025","passed","Fri Jan 31 18:21:06 GMT 2025","unique ids","Stock","",""
"","12","Fetch All Department roles","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:31 GMT 2025","broken","Fri Jan 31 18:20:31 GMT 2025","Updates > Department Roles","HR management","",""
"","73","search payroll disburse-invalid auth","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:30 GMT 2025","passed","Fri Jan 31 18:20:30 GMT 2025","Search > Payroll disburse","HR management","",""
"","108","Verify Registration Otp-Invalid Passcode","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:19:39 GMT 2025","failed","Fri Jan 31 18:19:39 GMT 2025","Verify Reg OTP","Authentication","",""
"","157","Allocate Budget-Success","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:59 GMT 2025","failed","Fri Jan 31 18:21:59 GMT 2025","Budget > Allocate Budget","Spend Management","",""
"","68","Invite branch location","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:31 GMT 2025","passed","Fri Jan 31 18:20:31 GMT 2025","Time and Attendance Copy > Branch Settings","HR management","",""
"","119","dashboard-Success","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:12 GMT 2025","passed","Fri Jan 31 18:21:12 GMT 2025","Campaign management > Get Dashboard","Instant Web","",""
"","107","run payroll approval-invalid payroll pin","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:19:53 GMT 2025","passed","Fri Jan 31 18:19:53 GMT 2025","Payroll > Payroll approval > Run payroll approval","HR management","",""
"","110","branch search customers [Invalid company ID]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:52 GMT 2025","passed","Fri Jan 31 18:22:52 GMT 2025","customers > profile > Branch search customers","Sales","",""
"","113","create custom components - invalid company id","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:17 GMT 2025","passed","Fri Jan 31 18:20:17 GMT 2025","Payroll Settings > Custom Component > Create custom componenets","HR management","",""
"","121","update profile - Empty Country","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:25 GMT 2025","failed","Fri Jan 31 18:22:25 GMT 2025","clients > Update Profile","Invoicing","",""
"","123","re-order stages in a  pipeline -Invalid stage ID","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:28 GMT 2025","passed","Fri Jan 31 18:21:29 GMT 2025","Order management > Re-order Stages in a pipeline","Instant Web","",""
"","120","all instant wage request-success","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:09 GMT 2025","failed","Fri Jan 31 18:20:09 GMT 2025","Instant Wage > Get instant wage request","HR management","",""
"","146","filter product analytics (date)-Empty date range","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:39 GMT 2025","passed","Fri Jan 31 18:21:39 GMT 2025","Analytics > Product Analytics > Filter Product Analytics(DATE)","Instant Web","",""
"","77","Edit custom Component-invalid auth","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:17 GMT 2025","passed","Fri Jan 31 18:20:17 GMT 2025","Payroll Settings > Custom Component > Edit custom components","HR management","",""
"","118","create branch [Empty mandatory field]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:40 GMT 2025","passed","Fri Jan 31 18:20:40 GMT 2025","branches > Create branch","Stock","",""
"","144","create categories [Success]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:35 GMT 2025","passed","Fri Jan 31 18:20:35 GMT 2025","categories > Create Categories","Stock","",""
"","73","average sales-Invalid Auth","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:20 GMT 2025","passed","Fri Jan 31 18:22:20 GMT 2025","Average Sales","Point of sales","",""
"","72","fetch suppliers [Invalid Auth]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:49 GMT 2025","passed","Fri Jan 31 18:20:49 GMT 2025","suppliers > Fetch Suppliers","Stock","",""
"","110","admin_employee_education-invalid employee id","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:19:57 GMT 2025","passed","Fri Jan 31 18:19:57 GMT 2025","Company Admin > Admin employee education","HR management","",""
"","76","admin_employee_certification-invalid auth","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:19:57 GMT 2025","passed","Fri Jan 31 18:19:57 GMT 2025","Company Admin > Admin employee certificate","HR management","",""
"","89","register customer [Invalid Auth]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:51 GMT 2025","passed","Fri Jan 31 18:22:51 GMT 2025","customers > profile > Register customer","Sales","",""
"","71","dashboard-Invalid Auth","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:13 GMT 2025","passed","Fri Jan 31 18:21:13 GMT 2025","Campaign management > Get Dashboard","Instant Web","",""
"","121","Edit custom Component-invalid custom component id","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:17 GMT 2025","passed","Fri Jan 31 18:20:17 GMT 2025","Payroll Settings > Custom Component > Edit custom components","HR management","",""
"","11","Delete A Task","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:31 GMT 2025","broken","Fri Jan 31 18:20:31 GMT 2025","Time and Attendance Copy > Task","HR management","",""
"","116","create salary components - invalid company id","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:15 GMT 2025","passed","Fri Jan 31 18:20:15 GMT 2025","Payroll Settings > Salary Component > Create Salary component","HR management","",""
"","206","Del Budget Category-Success","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:01 GMT 2025","failed","Fri Jan 31 18:22:01 GMT 2025","Budget > Delete Budget Category","Spend Management","",""
"","76","fetch orders","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:00 GMT 2025","failed","Fri Jan 31 18:21:00 GMT 2025","purchase orders > Fetch orders","Stock","",""
"","113","total sales [Invalid branch ID]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:46 GMT 2025","failed","Fri Jan 31 18:22:46 GMT 2025","branches > Total Sales","Sales","",""
"","131","List Suppliers","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:07 GMT 2025","passed","Fri Jan 31 18:22:08 GMT 2025","Supplier Management","Spend Management","",""
"","111","branch fetch customers [Invalid company ID]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:54 GMT 2025","passed","Fri Jan 31 18:22:54 GMT 2025","customers > profile > fetch customers > Branch fetch customers","Sales","",""
"","77","category fetch products [Invalid Auth]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:59 GMT 2025","passed","Fri Jan 31 18:20:59 GMT 2025","products > Category fetch products","Stock","",""
"","129","filter orders history-Success","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:34 GMT 2025","failed","Fri Jan 31 18:21:35 GMT 2025","Order management > Dashboards > Filter Order History","Instant Web","",""
"","112","dashboard view [Invalid Company Id]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:45 GMT 2025","passed","Fri Jan 31 18:22:45 GMT 2025","branches > Dashboard View","Sales","",""
"","119","Allocate Budget-Invalid Team id","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:59 GMT 2025","passed","Fri Jan 31 18:21:59 GMT 2025","Budget > Allocate Budget","Spend Management","",""
"","114","Update Beneficiary-Empty required fields","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:12 GMT 2025","passed","Fri Jan 31 18:20:13 GMT 2025","One Click > Update Beneficiary","HR management","",""
"","244","create branch [Duplicate]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:40 GMT 2025","failed","Fri Jan 31 18:20:40 GMT 2025","branches > Create branch","Stock","",""
"","128","branch search customers [Success]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:52 GMT 2025","failed","Fri Jan 31 18:22:52 GMT 2025","customers > profile > Branch search customers","Sales","",""
"","72","ai register sales-Invalid company ID","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:10 GMT 2025","passed","Fri Jan 31 18:22:10 GMT 2025","AI register sales","Point of sales","",""
"","106","delete pay group-success","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:23 GMT 2025","failed","Fri Jan 31 18:20:24 GMT 2025","Payroll Settings > Pay Group > Delete paygroup","HR management","",""
"","76","categories above average [Invalid Auth]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:23:07 GMT 2025","passed","Fri Jan 31 18:23:07 GMT 2025","companies > Categories > Categories above average [Success]","Sales","",""
"","73","branch top inactive [Invalid Auth]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:56 GMT 2025","passed","Fri Jan 31 18:22:56 GMT 2025","customers > profile > Top Inactive > Branch top inactive","Sales","",""
"","144","search-Success","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:18 GMT 2025","passed","Fri Jan 31 18:21:18 GMT 2025","Products > Search product","Instant Web","",""
"","142","Reset employee Pin-inactive employee id","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:01 GMT 2025","passed","Fri Jan 31 18:20:01 GMT 2025","Company Admin > Reset employee pin","HR management","",""
"","119","turn on or off employee instant wage-invalid user id","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:10 GMT 2025","failed","Fri Jan 31 18:20:10 GMT 2025","Instant Wage > Turn on/off instant wage for employee > one employee","HR management","",""
"","142","retrieve product-Success","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:16 GMT 2025","passed","Fri Jan 31 18:21:16 GMT 2025","Products > Retrieve product","Instant Web","",""
"","104","delete employee education","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:28 GMT 2025","passed","Fri Jan 31 18:20:28 GMT 2025","Payroll Settings > Employee Data Settings > Employee Education > Delete employee education","HR management","",""
"","142","retrieve_buyers(Customers)-Invalid branch ID","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:27 GMT 2025","passed","Fri Jan 31 18:21:28 GMT 2025","Cart management > Retrieve Buyers(Customers)","Instant Web","",""
"","105","delete employee account","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:28 GMT 2025","passed","Fri Jan 31 18:20:28 GMT 2025","Payroll Settings > Employee Data Settings > Employee Account > Delete employee account","HR management","",""
"","113","register sales-Success Copy 4","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:33 GMT 2025","passed","Fri Jan 31 18:22:33 GMT 2025","branches > Point of sales > Register Sales","Sales","",""
"","134","List Budget-success","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:57 GMT 2025","passed","Fri Jan 31 18:21:57 GMT 2025","Budget > Get Budgets","Spend Management","",""
"","73","search orders history-Invalid Auth","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:34 GMT 2025","passed","Fri Jan 31 18:21:34 GMT 2025","Order management > Dashboards > Search Order History","Instant Web","",""
"","76","verify Corporate Company-Invalid Auth","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:50 GMT 2025","passed","Fri Jan 31 18:21:50 GMT 2025","Company > Corporate company > Verify corporate company","Spend Management","",""
"","111","group payroll history - invalid company id","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:19:44 GMT 2025","passed","Fri Jan 31 18:19:44 GMT 2025","Transactions > Group payroll history","HR management","",""
"","117","branch dashboard summary [Success]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:55 GMT 2025","failed","Fri Jan 31 18:22:55 GMT 2025","customers > profile > dashboard summary > Branch dashboard summary","Sales","",""
"","109","branch top active [Invalid company ID]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:55 GMT 2025","passed","Fri Jan 31 18:22:56 GMT 2025","customers > profile > Top active > Branch top active","Sales","",""
"","70","Read a Break Start Time","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:33 GMT 2025","passed","Fri Jan 31 18:20:33 GMT 2025","Time and Attendance Copy > Start Break","HR management","",""
"","113","fetch categories [Success]","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:36 GMT 2025","failed","Fri Jan 31 18:20:36 GMT 2025","categories > Fetch Categories","Stock","",""
"","69","Employee Attendance Dashboard Details","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:20:31 GMT 2025","passed","Fri Jan 31 18:20:31 GMT 2025","Time and Attendance Copy > Employee Dashboard > Attendance Dashboard","HR management","",""
"","12","Supplier Detail","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:22:08 GMT 2025","broken","Fri Jan 31 18:22:08 GMT 2025","Supplier Management","Spend Management","",""
"","113","product orders Copy","PayBox-360 - QA AUTOMATION","Fri Jan 31 18:21:20 GMT 2025","passed","Fri Jan 31 18:21:20 GMT 2025","Products > Get Product Orders","Instant Web","",""
