"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Fri Aug 09 18:35:55 GMT 2024","Fri Aug 09 18:35:55 GMT 2024","25","PayBox-360 - QA AUTOMATION","stock","histories > Fetch company histories","","","fetch company histories [Invalid Auth]",""
"passed","Fri Aug 09 18:35:45 GMT 2024","Fri Aug 09 18:35:45 GMT 2024","139","PayBox-360 - QA AUTOMATION","HR management","Payroll Settings > Benefit Component > Delete benefit component","","","delete benefit Component - invalid company id",""
"passed","Fri Aug 09 18:36:47 GMT 2024","Fri Aug 09 18:36:47 GMT 2024","27","PayBox-360 - QA AUTOMATION","sales","branches > Gross profit","","","gross profit [Invalid Auth]",""
"failed","Fri Aug 09 18:35:53 GMT 2024","Fri Aug 09 18:35:53 GMT 2024","59","PayBox-360 - QA AUTOMATION","stock","branches > Create branch","","","create branch [Success] Copy",""
"passed","Fri Aug 09 18:36:57 GMT 2024","Fri Aug 09 18:36:57 GMT 2024","106","PayBox-360 - QA AUTOMATION","sales","return / refund > swap","","","make request [Invalid invoice ID]",""
"passed","Fri Aug 09 18:36:32 GMT 2024","Fri Aug 09 18:36:32 GMT 2024","24","PayBox-360 - QA AUTOMATION","Spend Management","Requisition > Search vendor details","","","Search Vendor details-Invalid Auth",""
"passed","Fri Aug 09 18:36:53 GMT 2024","Fri Aug 09 18:36:53 GMT 2024","46","PayBox-360 - QA AUTOMATION","sales","customers > profile > excel sheet > Upload recod","","","upload record [Invalid branch ID]",""
"broken","Fri Aug 09 18:35:49 GMT 2024","Fri Aug 09 18:35:49 GMT 2024","14","PayBox-360 - QA AUTOMATION","HR management","Payroll Settings > Pay Grade > Delete paygrade","","","Delete pay grade-success",""
"failed","Fri Aug 09 18:36:53 GMT 2024","Fri Aug 09 18:36:53 GMT 2024","44","PayBox-360 - QA AUTOMATION","sales","customers > profile > fetch customers > Branch fetch customers","","","branch fetch customers [Invalid customer ID]",""
"passed","Fri Aug 09 18:35:49 GMT 2024","Fri Aug 09 18:35:49 GMT 2024","142","PayBox-360 - QA AUTOMATION","HR management","Payroll Settings > Pay Grade > Delete paygrade","","","Delete pay grade-invalid paygroup id",""
"failed","Fri Aug 09 18:36:47 GMT 2024","Fri Aug 09 18:36:48 GMT 2024","71","PayBox-360 - QA AUTOMATION","sales","branches > Existing customer payment link","","","existing customer payment link [Success]",""
"failed","Fri Aug 09 18:35:51 GMT 2024","Fri Aug 09 18:35:51 GMT 2024","288","PayBox-360 - QA AUTOMATION","HR management","Search > Payroll approval","","","search payroll aproval-success",""
"failed","Fri Aug 09 18:36:54 GMT 2024","Fri Aug 09 18:36:54 GMT 2024","63","PayBox-360 - QA AUTOMATION","sales","customers > profile > Top Inactive > Company top inactive","","","company top inactive [Invalid company ID]",""
"failed","Fri Aug 09 18:36:00 GMT 2024","Fri Aug 09 18:36:00 GMT 2024","28","PayBox-360 - QA AUTOMATION","stock","variants > Category & Item fetch variants [invalid company]","","","category & item fetch variants [Invalid item ID]",""
"failed","Fri Aug 09 18:36:46 GMT 2024","Fri Aug 09 18:36:46 GMT 2024","74","PayBox-360 - QA AUTOMATION","sales","branches > Total Sales","","","total sales [Invalid branch ID]",""
"failed","Fri Aug 09 18:36:42 GMT 2024","Fri Aug 09 18:36:42 GMT 2024","68","PayBox-360 - QA AUTOMATION","invoicing","Register invoice","","","register invoice",""
"passed","Fri Aug 09 18:35:32 GMT 2024","Fri Aug 09 18:35:33 GMT 2024","187","PayBox-360 - QA AUTOMATION","HR management","Company Admin > Create employee pfa","","","add_employee_pfa-Empty required fields",""
"failed","Fri Aug 09 18:35:40 GMT 2024","Fri Aug 09 18:35:40 GMT 2024","158","PayBox-360 - QA AUTOMATION","HR management","Instant Wage > Turn on/off instant wage for employee > one employee","","","turn on or off employee instant wage-success",""
"failed","Fri Aug 09 18:35:57 GMT 2024","Fri Aug 09 18:35:57 GMT 2024","26","PayBox-360 - QA AUTOMATION","stock","products > Category fetch products","","","category fetch products [Invalid category ID]",""
"failed","Fri Aug 09 18:36:57 GMT 2024","Fri Aug 09 18:36:57 GMT 2024","51","PayBox-360 - QA AUTOMATION","sales","return / refund > swap","","","make request [invalid quantity: >quantity purchased]",""
"passed","Fri Aug 09 18:35:54 GMT 2024","Fri Aug 09 18:35:54 GMT 2024","25","PayBox-360 - QA AUTOMATION","stock","branches > Stock details","","","stock details [Invalid Auth]",""
"failed","Fri Aug 09 18:36:22 GMT 2024","Fri Aug 09 18:36:22 GMT 2024","166","PayBox-360 - QA AUTOMATION","Spend Management","Budget > Create Budget","","","Budget-Duplicate budget name and period",""
"failed","Fri Aug 09 18:36:40 GMT 2024","Fri Aug 09 18:36:40 GMT 2024","62","PayBox-360 - QA AUTOMATION","invoicing","clients > Register client invoice","","","register - Invalid Phone number",""
"passed","Fri Aug 09 18:36:17 GMT 2024","Fri Aug 09 18:36:17 GMT 2024","166","PayBox-360 - QA AUTOMATION","Spend Management","Company > Create transaction pin","","","Create transaction pin-Empty fields",""
"failed","Fri Aug 09 18:35:59 GMT 2024","Fri Aug 09 18:35:59 GMT 2024","27","PayBox-360 - QA AUTOMATION","stock","suppliers > Retrieve supplier history","","","retrieve supplier history [Invalid supplier ID]",""
"passed","Fri Aug 09 18:36:34 GMT 2024","Fri Aug 09 18:36:34 GMT 2024","24","PayBox-360 - QA AUTOMATION","request POS","Make Request","","","make request-Invalid pickup_option",""
"passed","Fri Aug 09 18:36:36 GMT 2024","Fri Aug 09 18:36:36 GMT 2024","30","PayBox-360 - QA AUTOMATION","point of sales","AI register sales","","","ai register sales-Invalid Auth",""
"passed","Fri Aug 09 18:35:58 GMT 2024","Fri Aug 09 18:35:58 GMT 2024","23","PayBox-360 - QA AUTOMATION","stock","stock out","","","fetch requests",""
"broken","Fri Aug 09 18:35:50 GMT 2024","Fri Aug 09 18:35:50 GMT 2024","18","PayBox-360 - QA AUTOMATION","HR management","Payroll Settings > Department > Create department","","","create department-duplicate",""
"failed","Fri Aug 09 18:35:57 GMT 2024","Fri Aug 09 18:35:57 GMT 2024","27","PayBox-360 - QA AUTOMATION","stock","products > Retrieve product","","","retrieve product [Invalid Auth] Copy",""
"passed","Fri Aug 09 18:36:21 GMT 2024","Fri Aug 09 18:36:21 GMT 2024","139","PayBox-360 - QA AUTOMATION","Spend Management","Teams > Update/Edit team","","","Update/Edit Team-Invalid admin password",""
"failed","Fri Aug 09 18:35:11 GMT 2024","Fri Aug 09 18:35:11 GMT 2024","101","PayBox-360 - QA AUTOMATION","Authentication","Sign Up","","","Register User Details -Verify Duplicate email",""
"failed","Fri Aug 09 18:36:53 GMT 2024","Fri Aug 09 18:36:53 GMT 2024","45","PayBox-360 - QA AUTOMATION","sales","customers > profile > fetch customers > Branch fetch customers","","","branch fetch customers [Success]",""
"broken","Fri Aug 09 18:35:46 GMT 2024","Fri Aug 09 18:35:46 GMT 2024","19","PayBox-360 - QA AUTOMATION","HR management","Payroll Settings > Salary Component > Delete Salary component","","","delete Salary Component-invalid auth",""
"failed","Fri Aug 09 18:35:56 GMT 2024","Fri Aug 09 18:35:56 GMT 2024","27","PayBox-360 - QA AUTOMATION","stock","price list > Fetch company price lists","","","fetch company price lists",""
"passed","Fri Aug 09 18:36:08 GMT 2024","Fri Aug 09 18:36:08 GMT 2024","50","PayBox-360 - QA AUTOMATION","Instant Web","QR code > Search & filter QR Code","","","search & filter -Invallid branch ID",""
"failed","Fri Aug 09 18:36:52 GMT 2024","Fri Aug 09 18:36:52 GMT 2024","61","PayBox-360 - QA AUTOMATION","sales","customers > profile > Retrieve customer by ID","","","retrieve customer by ID [Invalid company ID]",""
